review_text,rating
"Just lost over £3,000 on a holiday to Thailand. This is absolutely disgusting. We had to cancel to one of our friends having to have a back surgery and would no longer be able to travel. This was for...",1
"Disgusting behavior from one of your hosts, on reading her reviews, this is not the first time. What’s worse AirBnB are enabling this extortion by supporting the host. I advice not to use Air BnN at a...",1
"Have been waiting on their reaction on an appeal I've sent...It's been 22 months and they still haven't responded.
I can't contact them via their website, because I am still waiting on their reactio...",1
"Airbnb allowing hosts extort money from the guests.
By mistake I booked an accommodation for 1 person instead of 3. While amending the booking, the host asked 3 times the cost of the apartment. (...",1
"Just lost over £3,000 on a holiday to Thailand. This is absolutely disgusting. We had to cancel to one of our friends having to have a back surgery and would no longer be able to travel. This was for...",1
"Disgusting behavior from one of your hosts, on reading her reviews, this is not the first time. What’s worse AirBnB are enabling this extortion by supporting the host. I advice not to use Air BnN at a...",1
"Have been waiting on their reaction on an appeal I've sent...It's been 22 months and they still haven't responded.
I can't contact them via their website, because I am still waiting on their reactio...",1
"Airbnb allowing hosts extort money from the guests.
By mistake I booked an accommodation for 1 person instead of 3. While amending the booking, the host asked 3 times the cost of the apartment. (...",1
"Just lost over £3,000 on a holiday to Thailand. This is absolutely disgusting. We had to cancel to one of our friends having to have a back surgery and would no longer be able to travel. This was for...",1
"Disgusting behavior from one of your hosts, on reading her reviews, this is not the first time. What’s worse AirBnB are enabling this extortion by supporting the host. I advice not to use Air BnN at a...",1
"Have been waiting on their reaction on an appeal I've sent...It's been 22 months and they still haven't responded.
I can't contact them via their website, because I am still waiting on their reactio...",1
"Airbnb allowing hosts extort money from the guests.
By mistake I booked an accommodation for 1 person instead of 3. While amending the booking, the host asked 3 times the cost of the apartment. (...",1
"Just lost over £3,000 on a holiday to Thailand. This is absolutely disgusting. We had to cancel to one of our friends having to have a back surgery and would no longer be able to travel. This was for...",1
"Disgusting behavior from one of your hosts, on reading her reviews, this is not the first time. What’s worse AirBnB are enabling this extortion by supporting the host. I advice not to use Air BnN at a...",1
"Have been waiting on their reaction on an appeal I've sent...It's been 22 months and they still haven't responded.
I can't contact them via their website, because I am still waiting on their reactio...",1
"Airbnb allowing hosts extort money from the guests.
By mistake I booked an accommodation for 1 person instead of 3. While amending the booking, the host asked 3 times the cost of the apartment. (...",1
"Just lost over £3,000 on a holiday to Thailand. This is absolutely disgusting. We had to cancel to one of our friends having to have a back surgery and would no longer be able to travel. This was for...",1
"Disgusting behavior from one of your hosts, on reading her reviews, this is not the first time. What’s worse AirBnB are enabling this extortion by supporting the host. I advice not to use Air BnN at a...",1
"Have been waiting on their reaction on an appeal I've sent...It's been 22 months and they still haven't responded.
I can't contact them via their website, because I am still waiting on their reactio...",1
"Airbnb allowing hosts extort money from the guests.
By mistake I booked an accommodation for 1 person instead of 3. While amending the booking, the host asked 3 times the cost of the apartment. (...",1
"Just lost over £3,000 on a holiday to Thailand. This is absolutely disgusting. We had to cancel to one of our friends having to have a back surgery and would no longer be able to travel. This was for...",1
